Dress_type,Brand,Actual_price,Disc_price,Image
Sanganeri Kurti Women's Cotton Embroidered Kurta with Printed Pant Set (Pink),Generic,1399.0,498.0,https://m.media-amazon.com/images/I/71X9h9V94xL._AC_UL320_.jpg
Women's Cotton Straight Kurta,Amayra,1599.0,495.0,https://m.media-amazon.com/images/I/81OUTBBk2JS._AC_UL320_.jpg
Women's Salwar Suit,Janasya,3299.0,990.0,https://m.media-amazon.com/images/I/71wQ3t7L2xL._AC_UL320_.jpg
Women's Midnight Blue Hand Block Cotton Kurta with Palazzo & Dupatta (Set of 3) (Jaipuri White),ANNI DESIGNER,3000.0,849.0,https://m.media-amazon.com/images/I/71sXWZofM1L._AC_UL320_.jpg
Crepe Straight Kurti(Combo Pack 4),New Ethnic 4 You,1599.0,674.0,https://m.media-amazon.com/images/I/91JrEFZUdfL._AC_UL320_.jpg
Women's Pure Cotton Straight Kurta,Janasya,1199.0,479.0,https://m.media-amazon.com/images/I/81uJHOVq7GL._AC_UL320_.jpg
Women's Rayon Straight Kurti with White Sharara Plazzo for Women & Girls Dress |3/4 Sleeve Kurti for Young Girls,GONATURS,2999.0,649.0,https://m.media-amazon.com/images/I/91iGcfI6PvL._AC_UL320_.jpg
Women's Cotton Straight Kurta (Pack of 3) (Combo Kurti for Girl1_Multi_Free Size),RAMDEV,2896.0,729.0,https://m.media-amazon.com/images/I/81kuSg0V-HL._AC_UL320_.jpg
Crepe Printed Kurti(VPK1767_Blue_Free Size),Vaamsi,999.0,299.0,https://m.media-amazon.com/images/I/61u-e9l3UzL._AC_UL320_.jpg
Women's Pure Cotton Solid Straight Kurta Palazzo With Dupatta Set(IE10KS4BE1096),INDO ERA,2499.0,799.0,https://m.media-amazon.com/images/I/617fpstijES._AC_UL320_.jpg
Women's Rayon Solid Kurta with Palazzo and Dupatta (LAHARIYA-Parrot-STY_Green_),ANNI DESIGNER,3599.0,599.0,https://m.media-amazon.com/images/I/51jFPtv0PrS._AC_UL320_.jpg
"High Material Women's Rayon Regular Kurta/Kurti (White, Blue)",Bockson,1999.0,699.0,https://m.media-amazon.com/images/I/81jQZQPanHL._AC_UL320_.jpg
Rayon Cotton Feeding Kurtis for Wowen with Zippers/Maternity Kurtas 935,Soulemo,1999.0,899.0,https://m.media-amazon.com/images/I/81fAWNLoRAL._AC_UL320_.jpg
Rayon Cotton Kurtis/Kurtas for Women 949,PRISCILLA,1999.0,699.0,https://m.media-amazon.com/images/I/81gUg4aQ3UL._AC_UL320_.jpg
Women's Multi Coloured Digital Print Crepe Kurtas/Kurtis[Pack of 6],1 Stop Fashion,2999.0,1499.0,https://m.media-amazon.com/images/I/91aQjJogESS._AC_UL320_.jpg
Women's Cotton A-Line Kurti with Shrug,New Generation Fashion Hub,1999.0,399.0,https://m.media-amazon.com/images/I/71ipedjeVeL._AC_UL320_.jpg
Women's Kurta,Jaipur Kurti,1899.0,529.0,https://m.media-amazon.com/images/I/71JcjYw-w2L._AC_UL320_.jpg
Women's Rayon Multiple Kurtis & Palazzo (Multicolor) - P (Select Size Below for Each Product Descriptions),Fashion SAY,1999.0,499.0,https://m.media-amazon.com/images/I/81hP9AoWGVL._AC_UL320_.jpg
Cotton Printed Kurti (VCK1371_Black_Free Size),Vaamsi,1499.0,469.0,https://m.media-amazon.com/images/I/61r6gt1HJzL._AC_UL320_.jpg
Women's Crepe Straight Kurta,GoSriKi,2599.0,519.0,https://m.media-amazon.com/images/I/710a1W3TnIS._AC_UL320_.jpg
"Jaipuri Rajasthani Rayon Straight Kurti, Plazzo and Dupatta Set for Women & Girls Dress (Navy Blue)-P (Select Size Below for Each Product Descriptions)",Fashion SAY,1999.0,699.0,https://m.media-amazon.com/images/I/71a5KXmoo7S._AC_UL320_.jpg
Women's Multicolor Printed Straight Kurta Pack of 02(CHAKRI-Black & SAAHO-RAMA),GoSriKi,2599.0,399.0,https://m.media-amazon.com/images/I/81BW35eOj4L._AC_UL320_.jpg
Cotton Printed Kurti(VCK1312_Multicolored_Free Size),Vaamsi,999.0,429.0,https://m.media-amazon.com/images/I/71KyCzuhn-L._AC_UL320_.jpg
Women Light Green Cotton Straight Kurti with Pant (SD098),NAINVISH,1999.0,599.0,https://m.media-amazon.com/images/I/71AZLdwsv0L._AC_UL320_.jpg
Cotton Printed Kurti(VCK1131_Grey_Free Size),Vaamsi,999.0,429.0,https://m.media-amazon.com/images/I/618KYDkPlQS._AC_UL320_.jpg
Women's Regular Kurti,Amazon Brand - Myx,999.0,249.0,https://m.media-amazon.com/images/I/71X1HuZlSmL._AC_UL320_.jpg
Women Cotton Slub Printed Anarkali Kurta(Green),Yash Gallery,1699.0,529.0,https://m.media-amazon.com/images/I/61CFhcY2BML._AC_UL320_.jpg
Crepe Printed Kurti(VPK1781_Navy Blue_Free Size),Vaamsi,999.0,299.0,https://m.media-amazon.com/images/I/71zL33+HVFL._AC_UL320_.jpg
Women's Rayon Foil Printed Kurta,SIRIL,1711.0,479.0,https://m.media-amazon.com/images/I/61u4hkbaAAL._AC_UL320_.jpg
Women's Rayon Anarkali Kurti,Arayna,1999.0,699.0,https://m.media-amazon.com/images/I/61zWwveb7YL._AC_UL320_.jpg
Women's Rayon Gold-Toned Printed Kurta with Sharara & Dupatta (Set of 3)(RED),ANNI DESIGNER,3999.0,799.0,https://m.media-amazon.com/images/I/71GFwW3XJML._AC_UL320_.jpg
Women's Regular Kurta,Vaamsi,4330.0,1399.0,https://m.media-amazon.com/images/I/91m6aPoy8mL._AC_UL320_.jpg
Black Gold Print Pure Cotton A-Line Printed Festive Kurta,SIDDHANAM,1599.0,499.0,https://m.media-amazon.com/images/I/71956cSwbpL._AC_UL320_.jpg
Latest Women's Rayon Kurti with Palazzo Pant Kurti Palazzo Set for Girls || Women's Rayon Kurti With Palazzo Pant || Size:-XL,Generic,1299.0,498.0,https://m.media-amazon.com/images/I/31-W2KbCfCL._AC_UL320_.jpg
Women's Cotton Kurta with Pants and Dupatta Set,Miss Fame,2499.0,999.0,https://m.media-amazon.com/images/I/71Q35hkQy9L._AC_UL320_.jpg
Crepe Printed Kurti(VPK1773_Beige_Free Size),Vaamsi,999.0,299.0,https://m.media-amazon.com/images/I/61ItKiA3PyL._AC_UL320_.jpg
Women's Pure Cotton Flower Print Kurta with Palazzo (BLUE-FLOWER-01_SY),ANNI DESIGNER,3599.0,599.0,https://m.media-amazon.com/images/I/61MSpNIrH0S._AC_UL320_.jpg
Women Cotton Slub Checks Print Anarkali Kurta (Yellow),Yash Gallery,3499.0,719.0,https://m.media-amazon.com/images/I/71aevD7dnRL._AC_UL320_.jpg
Women's Cotton Anarkali Kurta with Palazzo,GoSriKi,2599.0,499.0,https://m.media-amazon.com/images/I/61mZjNNYFSS._AC_UL320_.jpg
Women's Crepe Stitched Kurti Combo Pack of 6 (Multi-Coloured),Navlik,7999.0,1559.0,https://m.media-amazon.com/images/I/81z5EYJvbOL._AC_UL320_.jpg
Latest Women's Rayon Kurti with Palazzo Pant Kurti Palazzo Set for Girls || Women's Rayon Kurti With Palazzo Pant || Size:-XXL,Generic,1299.0,498.0,https://m.media-amazon.com/images/I/31j-Po8959S._AC_UL320_.jpg
Women Salwar Suit Set,BIBA,3299.0,900.0,https://m.media-amazon.com/images/I/81TsakWUNxL._AC_UL320_.jpg
Women Cotton Printed Straight Kurti with Palazzo Set (SD53GREY),NAINVISH,2499.0,699.0,https://m.media-amazon.com/images/I/81kcW2obzqL._AC_UL320_.jpg
Women Gold Printed Premium Straight Kurti with Palazzo in Rayon by Hina Khan (Petrol Blue),Jaipuri Kurti,1099.0,559.0,https://m.media-amazon.com/images/I/41wiBntgVvL._AC_UL320_.jpg
Gorgeous Women's Cotton Printed Kurta and Palazzo Casual wear (P),ANNU PARIDHAN,3099.0,674.0,https://m.media-amazon.com/images/I/71mEgRsosRL._AC_UL320_.jpg
Women's Cotton A-Line Kurti with Shrug,anushansa,1999.0,419.0,https://m.media-amazon.com/images/I/81YB0CNOssL._AC_UL320_.jpg
M R Jaipuri Kurti Designer Anarkali Kurti with Dupatta Set for Women and Girls Printed Cotton Long Anarkali Kurta Dupatta Set,Generic,1999.0,681.0,https://m.media-amazon.com/images/I/51BOOZrxwnL._AC_UL320_.jpg
Women's Mustard And Sage Green Cotton Kurta Set,Idalia,3199.0,1023.0,https://m.media-amazon.com/images/I/6148dDsWX-L._AC_UL320_.jpg
Women's Straight Kurta Combo Pack Of 03 (KURTI-COMBO-PACK-3-003-L_Multi L),GoSriKi,3999.0,519.0,https://m.media-amazon.com/images/I/71ONyVangLS._AC_UL320_.jpg
Women's Hand Block Pink Cotton Angrakha Flared Kurta with Pants (Vishal-GF),GoSriKi,2599.0,599.0,https://m.media-amazon.com/images/I/51HJabjr4RL._AC_UL320_.jpg
Women's Cotton Regular Kurta,GULMOHAR JAIPUR,2899.0,639.0,https://m.media-amazon.com/images/I/81WhXd5YuUL._AC_UL320_.jpg
